_r,recno,Visit,ID,Target,File,Fiber,Plate,MJD,Tel,Survey,Field,Prog,Loc,RAJ2000,DEJ2000,GLON,GLAT,Jmag,e_Jmag,Hmag,e_Hmag,Ksmag,e_Ksmag,Ap1T1,Ap1T2,SNR,SFlag,Date,JD,BC,VType,RV,e_RV,VHelio,VLSR,VGSR,Chi2,Teff,[Fe/H],logg,[a/Fe],[C/Fe],synFile,EType,RV1,e_RV1,Vhelio1,RVRels,e_RVRels,HRVs,RVRel,e_RVRel,HRV,Ap2T1,Ap2T2,Ap2T3,EFlag,Hmin,Hmax,JKmin,JKmax,AName,r_Hmag,Mmag,e_Mmag,T2mag,e_T2mag,DDO51,e_DDO51,3.6mag,e_3.6mag,4.5mag,e_4.5mag,5.8mag,e_5.8mag,8.0mag,e_8.0mag,4.5magW,e_4.5magW,4.5magT,e_4.5magT,AkT,n_AkT,Ak,E(B-V),Giant,Star,pmRA_1,pmDE,r_pm,dist,solution_id,designation,source_id,random_index,ref_epoch,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra_2,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_bad_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,astrometric_primary_flag,nu_eff_used_in_astrometry,pseudocolour,pseudocolour_error,ra_pseudocolour_corr,dec_pseudocolour_corr,parallax_pseudocolour_corr,pmra_pseudocolour_corr,pmdec_pseudocolour_corr,astrometric_matched_transits,visibility_periods_used,astrometric_sigma5d_max,matched_transits,new_matched_transits,matched_transits_removed,ipd_gof_harmonic_amplitude,ipd_gof_harmonic_phase,ipd_frac_multi_peak,ipd_frac_odd_win,ruwe,scan_direction_strength_k1,scan_direction_strength_k2,scan_direction_strength_k3,scan_direction_strength_k4,scan_direction_mean_k1,scan_direction_mean_k2,scan_direction_mean_k3,scan_direction_mean_k4,duplicated_source,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_n_contaminated_transits,phot_bp_n_blended_transits,phot_rp_n_contaminated_transits,phot_rp_n_blended_transits,phot_proc_mode,phot_bp_rp_excess_factor,bp_rp,bp_g,g_rp,dr2_radial_velocity,dr2_radial_velocity_error,dr2_rv_nb_transits,dr2_rv_template_teff,dr2_rv_template_logg,dr2_rv_template_fe_h,l,b,ecl_lon,ecl_lat,Separation
0.46202,342932,apogee.apo25m.s.r12.7224.56629.282,2M05351932-0455450,apo25m.4611.ORIONA.2M05351932-0455450,apVisit-r12-7224-56629-282.fits,282,"        7224",56629,apo25m,apogee,ORIONA,apogee,4611,83.830515,-4.929167,208.5816326339,-19.164610411,15.547,0.062,12.277,0.033,10.079,0.021,-2147352576,-2147475456,2.26,8208,2013-12-03T07:25:59,2456629.828,5.273022,3,-601.7,0.9815,-596.43,-609.45,-708.87,1.57,3000.0,0.5,5.0,0.5,0.0,apg_synthgrid.fits,1,-500.057,1.012,-494.79,-1372.395,1.9408,-1367.122,-601.594,0.15146,-596.321,0,0,0,1,,,,,none,2MASS,,,,,,,,,,,,,,,7.074,0.021,,,2.077,SFD,4.73,6.878,-1,1,0.0,0.0,None,0.4620163108403057,1636042515805110273,Gaia EDR3 3209547730803346944,3209547730803346944,75882270,2016.0,83.83053129152903,33.094906,-4.929171415744451,35.23977,,,,,,,,,0.17686087,,,,,,,,,,87,0,81,6,6.0135975,175.6946,15.889772,67.260666,3,false,,,,,,,,,11,1,7112952.0,13,5,0,7.611932,137.22693,0,0,,0.99363285,0.97464854,0.943399,0.9004742,136.47102,-43.55261,16.406439,-43.654404,false,83,104.23308365015713,2.4718826,42.16749,20.642353,6,61.720542866615794,15.6927805,3.9330533,20.862469,12,221.74735626876915,18.288801,12.124762,18.88325,0,0,0,0,0,2.7195578,1.9792194,0.22011566,1.7591038,,,0,,,,208.58161724267677,-19.164640907267305,83.02049222219243,-28.21910124802212,0.060556363611838866
0.351088,346910,apogee.apo25m.s.r12.9533.58063.82,2M05361501-0538525,apo25m.5249.ORIONA-B.2M05361501-0538525,apVisit-r12-9533-58063-082.fits,82,"        9533",58063,apo25m,apogee2-manga,ORIONA-B,yso,5249,84.062581,-5.647936,209.3711688174,-19.2839547602,6.953,0.034,7.01,0.049,7.105,0.021,0,0,516.5,0,2017-11-06T08:43:14,2458063.887,16.421295,3,-76.07,0.9551,-59.65,-72.67,-174.52,6.56,18000.0,-1.5,4.0,0.0,0.0,apg_synthgrid.fits,2,-18.577,0.651,-2.162,-5.036,0.79724,11.385,-58.878,0.94864,-42.457,-2147483584,-2147483136,0,5,,,,,none,2MASS,,,,,,,,,,,,,,,7.189,0.02,,,0.499,SFD,-0.21,1.651,-1,1,14.7,4.9,URAT1,0.35110490795887034,1636042515805110273,Gaia EDR3 3017294622299833216,3017294622299833216,1325880192,2016.0,84.06262132442136,0.03790758,-5.647921367108114,0.031409007,2.658460503335809,0.053727183,49.480736,1.2145636,1.2053634987117776,0.051267717,-0.1492094494537929,0.039330557,0.18875419,-0.1785885,-0.11335171,-0.09516596,-0.039099615,-0.021295436,-0.3605806,0.17745242,0.16608678,0.026991664,443,443,443,0,0.7312574,9814.3,0.45614123,291.60574,31,false,1.835128,,,,,,,,50,20,0.07162122,50,29,9,0.023579245,3.740379,0,0,1.0240412,,,,,,,,,false,434,4.6448992381024025E7,14574.325,3187.0425,6.519926,46,3.726634755990022E7,31357.732,1188.4261,6.41025,42,1.6613206181330303E7,13098.345,1268.344,6.696762,0,1,0,9,0,1.1599725,-0.2865119,-0.109675884,-0.17683601,,,0,,,,209.37114670213182,-19.2839546015088,83.24427150368275,-28.94807016699072,0.1537680969417033
0.108429,341296,apogee.apo25m.s.r12.7224.56636.51,2M05350392-0529033,apo25m.4611.ORIONA.2M05350392-0529033,apVisit-r12-7224-56636-051.fits,51,"        7224",56636,apo25m,apogee,ORIONA,apogee,4611,83.766341,-5.484265,209.0752692158,-19.473174211,11.239,0.023,10.436,0.032,10.122,0.023,-2147352576,-2147475456,92.53,512,2013-12-10T06:18:09,2456636.786,2.056637,4,-53.75,0.04863,-51.69,-64.73,-165.52,5.74,3800.0,0.0,5.0,0.0,0.0,apg_synthgrid.fits,2,64.966,0.069,67.017,64.79,0.063061,66.847,-53.75,0.048634,-51.693,0,0,0,1,,,,,none,2MASS,,,,,,,,,,,,,,,9.225,0.024,,,,none,1.066,18.012,-1,1,,,none,0.1084373355898949,1636042515805110273,Gaia EDR3 3017266481662489984,3017266481662489984,1326302411,2016.0,83.7663412140933,0.016955055,-5.484274277026934,0.014795481,2.5366217832202684,0.026223237,96.731834,1.0663147,1.0404754404148053,0.02236737,0.23331952583919222,0.01765065,0.18360558,-0.29426125,-0.31380773,-0.21595937,-0.11240841,-0.16884507,-0.545572,0.14577046,0.20955479,0.0994842,372,0,370,2,7.142167,557.2075,0.09276954,4.883539,31,false,1.3468838,,,,,,,,44,17,0.032569423,51,31,0,0.037956323,99.09444,0,0,1.2746781,0.25186977,0.28306565,0.24272798,0.49638057,170.17026,-13.977917,2.0792348,-43.714577,false,348,49774.23659754559,141.08238,352.80264,13.944856,45,14175.15844431838,255.76375,55.42286,14.9597225,46,57837.66363934058,415.22058,139.29382,12.842369,0,3,0,2,0,1.446789,2.1173534,1.0148668,1.1024866,,,0,,,,209.07525088905365,-19.47322061208092,82.91696013405493,-28.770414656832834,0.03340610800915659
0.205901,338900,apogee.apo25m.s.r12.7220.56606.201,2M05343033-0527277,apo25m.4611.ORIONA.2M05343033-0527277,apVisit-r12-7220-56606-201.fits,201,"        7220",56606,apo25m,apogee,ORIONA,apogee,4611,83.626377,-5.457719,208.9833164947,-19.5854512407,9.831,0.023,9.632,0.03,9.555,0.018,-2147352576,-2147475456,176.49,0,2013-11-10T08:39:57,2456606.884,14.771844,5,-53.7,0.01829,-38.93,-51.97,-152.4,4.66,5500.0,-0.5,4.0,0.0,0.0,apg_synthgrid.fits,2,-53.822,0.023,-39.056,-53.699,0.018286,-38.927,-53.707,0.018317,-38.935,0,0,0,1,,,,,none,2MASS,,,,,,,,,,,,,,,9.52,0.021,9.52,0.021,0.057,RJCE_WISE,0.057,3.29,-1,1,10.1,-17.7,URAT1,0.20589489232191452,1636042515805110273,Gaia EDR3 3017270020715558144,3017270020715558144,909778148,2016.0,83.62641000368714,0.010087784,-5.457795613113947,0.008697826,3.9809552499588343,0.01433642,277.68127,19.685402,5.296585017372575,0.013196939,-18.959462422373132,0.010348444,-0.027318195,-0.23075902,0.0047466,0.045447093,0.06285683,0.14374012,-0.4867207,0.11835298,0.01443669,-0.17051521,432,432,428,4,-0.122577414,904.37964,0.07298902,9.475379,31,false,1.5901248,,,,,,,,49,19,0.018823396,51,29,0,0.029414611,176.01086,1,0,0.99500185,,,,,,,,,false,419,975748.7035691739,129.86523,7513.5483,10.714022,48,557916.3797913266,195.28893,2856.8767,10.972119,47,604218.7797284393,244.37828,2472.4734,10.2949095,0,0,0,0,0,1.1910189,0.67720985,0.25809765,0.4191122,-38.932213,1.2317039,7,6500.0,4.5,0.0,208.983377708032,-19.5854989970538,82.7597770341929,-28.737029623513855,0.3000974988016188
0.602013,346862,apogee.apo25m.s.r12.7223.56628.263,2M05361443-0450159,apo25m.4611.ORIONA.2M05361443-0450159,apVisit-r12-7223-56628-263.fits,263,"        7223",56628,apo25m,apogee,ORIONA,apogee,4611,84.06014,-4.837758,208.6055455138,-18.9192734582,10.912,0.022,10.339,0.031,10.222,0.019,-2147352576,-2147475456,73.49,4,2013-12-02T07:07:27,2456628.82,5.883598,3,-42.5,0.02696,-36.62,-49.62,-149.26,2.41,5000.0,0.0,5.0,0.0,0.0,apg_synthgrid.fits,2,-42.427,0.03,-36.549,-42.571,0.026996,-36.688,-42.5,0.026957,-36.617,0,0,0,1,,,,,none,2MASS,,,,,,,,,,,,,,,10.266,0.02,10.266,0.02,0.021,RJCE_WISE,0.021,0.862,-1,1,4.0,-47.0,URAT1,0.6018297177701674,1636042515805110273,Gaia EDR3 3209561234177593984,3209561234177593984,764883809,2016.0,84.06015838334959,0.6123091,-4.837965405149846,0.53085387,6.138943907008655,0.9555693,6.4243836,46.818,-9.963370667178019,0.8165611,-45.745562124292995,0.6582137,0.34979853,-0.15306641,-0.01854586,-0.22131093,-0.18919472,-0.15302014,-0.31907392,0.24636783,0.23203231,0.096917406,556,430,527,29,629.66345,1967388.8,8.3272,62883.047,31,false,1.4369543,,,,,,,,64,22,1.1710945,74,38,0,0.24281389,107.79367,55,0,52.334404,,,,,,,,,false,550,134209.5764381493,1110.0151,120.90788,12.8679085,62,68603.46804674726,38.451965,1784.1343,13.247677,62,143631.2581331185,76.92984,1867.0422,11.8547735,0,0,0,1,0,1.581368,1.3929033,0.37976837,1.013135,-31.016403,2.5153708,9,5500.0,4.5,0.0,208.60572199612554,-18.919394507794443,83.28468009168718,-28.13888868555837,0.7495649557145133
0.469649,336365,apogee.apo25m.s.r12.7224.56629.213,2M05332442-0521164,apo25m.4611.ORIONA.2M05332442-0521164,apVisit-r12-7224-56629-213.fits,213,"        7224",56629,apo25m,apogee,ORIONA,apogee,4611,83.351791,-5.354579,208.7542350108,-19.7825346049,10.544,0.023,10.296,0.029,10.215,0.019,-2147352576,-2147475456,20.27,0,2013-12-03T07:25:59,2456629.828,4.992828,3,-35.19,0.1396,-30.19,-43.25,-142.83,1.86,5250.0,-0.5,4.0,0.0,0.0,apg_synthgrid.fits,2,-35.126,0.127,-30.139,-35.675,0.11736,-30.682,-35.31,0.13799,-30.317,0,0,0,1,,,,,none,2MASS,,,,,,,,,,,,,,,10.211,0.022,10.211,0.022,0.032,RJCE_WISE,0.032,0.728,-1,1,1.6,-15.7,URAT1,0.46964139559836726,1636042515805110273,Gaia EDR3 3209427647811446272,3209427647811446272,1502165879,2016.0,83.3517926287947,0.015344398,-5.354656427484082,0.01321687,3.673850483126118,0.021039106,174.62007,21.062397,-1.2540967313000775,0.019406704,-21.025028602461653,0.01645455,0.04538481,-0.20480108,-0.13808125,-0.076329075,-0.17523214,0.04939447,-0.5192371,0.074026264,0.24554968,-0.19955593,407,407,397,10,4.6495433,1879.8528,0.14469892,34.618652,31,true,1.5676197,,,,,,,,47,22,0.028126612,50,30,1,0.023380462,8.306383,0,0,1.1696733,,,,,,,,,false,382,471384.32882619346,146.41997,3219.3992,11.503929,47,258909.02710940383,117.66699,2200.354,11.805675,48,304778.7641876279,98.87202,3082.5583,11.037933,0,0,0,0,0,1.1958137,0.7677412,0.3017454,0.4659958,-30.815907,0.52296984,7,6250.0,4.5,0.0,208.75428229538232,-19.782610730579673,82.45460909747037,-28.619971202032826,0.2788000740159805
0.68973,339081,apogee.apo25m.s.r12.7228.56671.295,2M05343347-0443328,apo25m.4612.ORIONB.2M05343347-0443328,apVisit-r12-7228-56671-295.fits,295,"        7228",56671,apo25m,apogee,ORIONB,apogee,4612,83.639462,-4.725802,208.2981290197,-19.2415601644,12.644,0.023,11.757,0.033,11.424,0.023,-2147352576,-2147475456,46.25,0,2014-01-14T03:45:13,2456671.68,-13.570229,3,-34.8,0.05035,-48.37,-61.4,-159.86,1.74,6000.0,0.0,5.0,0.0,0.0,apg_synthgrid.fits,2,-34.353,0.056,-47.929,-34.706,0.050625,-48.276,-34.8,0.050348,-48.37,0,0,0,1,,,,,none,2MASS,,,,,,,,,,,,,,,11.207,0.048,11.248,0.053,0.421,RJCE_WISE_ALLSKY,0.459,1.512,-1,1,0.0,0.0,None,0.6896161591596015,1636042515805110273,Gaia EDR3 3209625113229641344,3209625113229641344,1503551490,2016.0,83.6394580886535,0.026363095,-4.725920803614699,0.02326934,2.3138498366666185,0.037928414,61.00571,23.790796,-2.7460056837876072,0.034839243,-23.631789417860514,0.027977698,0.13239777,0.016085967,-0.062156316,-0.11561762,-0.08796159,-0.060618337,-0.4440792,0.1584539,0.1166756,-0.04850569,501,0,499,2,1.5972801,566.54895,0.07232358,0.680945,31,true,1.2887132,,,,,,,,58,22,0.04851971,62,33,0,0.020959554,2.1742818,3,0,1.0505582,0.12511979,0.2609572,0.124429315,0.5159897,-176.8955,-13.840503,4.8617153,-43.452686,false,489,8301.109787097272,5.464983,1518.9635,15.889526,58,1763.7616998318306,11.521812,153.08023,17.222443,59,10087.464748171666,20.871302,483.31747,14.7384405,0,24,0,1,0,1.4276677,2.484002,1.3329163,1.1510859,,,0,,,,208.29821191388396,-19.24166091530428,82.81623175791846,-28.006726773381715,0.4279231680259548
0.293789,344474,apogee.apo25m.s.r12.9533.58058.292,2M05353428-0506212,apo25m.5249.ORIONA-B.2M05353428-0506212,apVisit-r12-9533-58058-292.fits,292,"        9533",58058,apo25m,apogee2-manga,ORIONA-B,yso,5249,83.892842,-5.105897,208.778192276,-19.1895454559,9.271,0.029,9.336,0.032,9.316,0.018,0,0,174.54,0,2017-11-01T08:45:49,2458058.888,18.1768,4,-34.35,1.205,-16.18,-29.2,-129.22,3.92,10000.0,-1.5,4.0,0.0,0.0,apg_synthgrid.fits,2,-10.898,2.019,7.273,0.059,1.1476,18.236,-34.352,1.2053,-16.176,0,0,-2147483616,1,,,,,none,2MASS,,,,,,,,,,,,,,,9.266,0.027,9.266,0.027,0.018,RJCE_WISE,0.018,7.816,-1,1,-1.3,4.8,URAT,0.29379298376239255,1636042515805110273,Gaia EDR3 3209530520870064896,3209530520870064896,910229226,2016.0,83.89282791380177,0.015315284,-5.105889423059041,0.014814371,2.5792147811592807,0.0228339,112.955505,1.6044285,1.3954953636315348,0.020287,0.7916967025788917,0.018012462,0.21696742,-0.076136,-0.15874937,-0.09139489,-0.2691742,-0.10488343,-0.47414643,0.26397946,0.21943663,0.13564508,455,455,453,2,-1.0296029,2244.3577,0.16703758,44.46935,31,false,1.7498012,,,,,,,,52,22,0.030033972,54,29,1,0.016898548,161.39793,0,0,0.96506596,,,,,,,,,false,448,3449933.3015523423,828.408,4164.5337,9.34284,53,2511191.0891437307,1034.3163,2427.8755,9.338842,52,1473167.2294077894,503.6934,2924.7302,9.327266,0,0,0,0,0,1.1549088,0.0115766525,-0.0039978027,0.015574455,,,0,,,,208.7781509968459,-19.189597298906552,83.08120061244536,-28.39861102211408,0.05740385270670435
0.467136,336614,apogee.apo25m.s.r12.7224.56629.17,2M05333223-0533338,apo25m.4611.ORIONA.2M05333223-0533338,apVisit-r12-7224-56629-017.fits,17,"        7224",56629,apo25m,apogee,ORIONA,apogee,4611,83.384322,-5.559415,208.9639741242,-19.8463368373,11.477,0.024,10.902,0.024,10.787,0.019,-2147352576,-2147475456,10.4,512,2013-12-03T07:25:59,2456629.828,4.994394,3,-33.0,0.1696,-28.01,-41.06,-141.27,1.82,5000.0,0.0,5.0,0.0,0.0,apg_synthgrid.fits,2,-32.322,0.204,-27.333,-32.498,0.1885,-27.504,-32.519,0.17583,-27.524,0,0,0,1,,,,,none,2MASS,,,,,,,,,,,,,,,10.851,0.036,10.851,0.036,0.001,RJCE_WISE,0.001,1.305,-1,1,-0.4,-11.3,URAT1,0.467163607977103,1636042515805110273,Gaia EDR3 3209415450104529536,3209415450104529536,1268721334,2016.0,83.38431347374548,0.014317439,-5.559468791084365,0.013452759,4.788454864195955,0.019976689,239.70213,15.066859,-0.5344977447693201,0.01910065,-15.05737558437394,0.017137403,0.20197396,-0.11678477,-0.19365424,-0.16173105,-0.18607603,-0.13884978,-0.44512618,0.15742679,0.13723588,0.06660267,459,0,457,2,17.249964,1218.8247,0.14227977,20.981773,31,true,1.4406924,,,,,,,,53,23,0.027447047,55,31,0,0.011395912,164.76534,1,0,1.624644,0.24699011,0.24920896,0.031743765,0.5417784,-178.29648,-21.515604,20.021442,-43.84397,false,434,101282.23535147634,15.251287,6640.8975,13.173533,51,41666.05056878799,25.696198,1621.487,13.789086,51,85518.40087480664,30.400316,2813.076,12.417747,0,1,0,0,0,1.2557429,1.3713398,0.6155529,0.7557869,-25.959742,0.9456265,7,4500.0,3.0,0.0,208.96399421414685,-19.846411016347805,82.4792396377394,-28.82619824300791,0.19604290712977354
0.601345,335418,apogee.apo25m.s.r12.7222.56626.213,2M05325694-0514276,apo25m.4611.ORIONA.2M05325694-0514276,apVisit-r12-7222-56626-213.fits,213,"        7222",56626,apo25m,apogee,ORIONA,apogee,4611,83.237259,-5.241005,208.591684822,-19.8326975146,10.664,0.026,10.296,0.022,10.24,0.019,-2147352576,-2147475456,121.7,0,2013-11-30T07:01:42,2456626.816,6.357307,3,-32.72,0.01805,-26.37,-39.42,-138.46,2.76,6000.0,0.0,5.0,0.0,0.0,apg_synthgrid.fits,2,-32.52,0.019,-26.168,-32.726,0.018062,-26.369,-32.723,0.018046,-26.366,0,0,0,1,,,,,none,2MASS,,,,,,,,,,,,,,,10.235,0.02,10.235,0.02,0.01,RJCE_WISE,0.01,0.178,-1,1,17.4,-29.7,URAT1,0.6012293402936397,1636042515805110273,Gaia EDR3 3209444170548646784,3209444170548646784,674192979,2016.0,83.23734069587408,0.012444137,-5.241150661079555,0.010819645,3.8453119675373726,0.017798165,216.05103,33.25925,15.331405053821817,0.016826728,-29.51483919816438,0.013972341,-0.07460818,-0.1167157,-0.14961946,0.039210834,-0.054815106,0.13369069,-0.48350757,0.13293113,0.13472556,-0.29056746,407,407,400,7,0.92462605,1099.0573,0.108512774,20.836142,31,true,1.5506574,,,,,,,,47,21,0.025076516,49,30,1,0.023359524,6.5814624,0,0,1.0322235,,,,,,,,,false,382,394628.5228322296,75.61232,5219.1035,11.696896,48,210019.58887699156,86.42337,2430.125,12.032893,47,263749.06809029623,73.23348,3601.482,11.194919,0,0,0,0,0,1.2005434,0.83797455,0.33599758,0.50197697,-26.76889,1.1061561,12,5500.0,3.5,0.0,208.59183528244026,-19.83273369961131,82.33187258919511,-28.500597766810927,0.6006249645131578
