star_s,star_b,cross_point_x,cross_point_y,TBL_S,TBL_B,vel_mod_s,vel_mod_b,angle,parallax_s,parallax_err_s,parallax_b,parallax_err_b,ruwe_s,ruwe_b
0,80,0.001554447607537539,-0.006656307895937874,173943.04813642468,150068.97534259708,1.8756702990581344,2.1838484658111113,1.2096319002586728,2.66,0.053727183,2.46,0.033408627,1.0240412,1.1302606
0,127,0.0019825467294483307,-0.00630773971326899,146771.8247057388,175326.56587395904,1.8756702990581344,3.8539415204099052,1.3517812607404245,2.66,0.053727183,2.38,0.059995938,1.0240412,1.0386764
0,177,-0.0007161749593986577,-0.008505101180425936,318058.25402053556,367175.661355549,1.8756702990581344,2.398009229766342,1.004179457206231,2.66,0.053727183,2.56,0.04126071,1.0240412,1.088091
0,256,0.0005445480636599768,-0.007478591406159351,238040.83471156986,234004.45615291587,1.8756702990581344,3.4876152599127335,1.1134923896401843,2.66,0.053727183,2.57,0.21943684,1.0240412,0.9538948
0,286,0.0016620781347361042,-0.006568672637314019,167111.7958567619,168158.2710807058,1.8756702990581344,2.2718644231824325,1.298421034058943,2.66,0.053727183,2.49,0.022793557,1.0240412,1.0993092
0,292,0.0024824780969688017,-0.005900684058826201,115041.4468757706,100908.76231316237,1.8756702990581344,5.041025557207822,1.1471483206041033,2.66,0.053727183,2.54,0.030180741,1.0240412,1.0729824
0,354,7.881690806090923e-05,-0.007857800458948006,267600.54329245025,232003.22842660386,1.8756702990581344,1.69064717525112,1.0366075952311793,2.66,0.053727183,2.44,0.11572118,1.0240412,1.0526364
0,408,0.002007321437592288,-0.00628756757426682,145199.38716509423,144751.41831531777,1.8756702990581344,2.8110428806161165,1.0613283617214697,2.66,0.053727183,2.54,0.039855678,1.0240412,1.1595454
0,543,2.9475726979967705e-05,-0.007897975187042178,270732.2017959768,227331.02823487294,1.8756702990581344,1.2129524398846965,1.2528698070500006,2.66,0.053727183,2.64,0.105323486,1.0240412,0.9967454
0,585,0.00207333850773462,-0.006233814952533034,141009.3188578522,131107.56725098361,1.8756702990581344,4.184245147110782,1.082849977318303,2.66,0.053727183,2.63,0.06649556,1.0240412,1.2760954
0,602,0.0020098895665808824,-0.006285476544389398,145036.38938496224,175608.5113472698,1.8756702990581344,3.4921573932184673,1.2134695532421014,2.66,0.053727183,2.46,0.046679564,1.0240412,0.5784394
0,626,0.001655485860073675,-0.006574040219448924,167530.20402113706,148453.32378002873,1.8756702990581344,3.793777424701161,1.2237036400910553,2.66,0.053727183,2.58,0.07710756,1.0240412,0.80326897
0,836,0.0018034415003649732,-0.0064535713233162765,158139.53827475233,172112.6693617946,1.8756702990581344,3.125124756516127,1.3947740384412926,2.66,0.053727183,2.43,0.066649646,1.0240412,0.95449
0,849,0.00174788535204766,-0.006498806421133376,161665.65744112755,183650.44833274107,1.8756702990581344,4.222757321401211,1.1867220405566465,2.66,0.053727183,2.47,0.11452982,1.0240412,0.8981195
0,983,0.0010356101409053882,-0.007078757332501266,206873.38601506868,195253.6771373344,1.8756702990581344,1.7468105042619972,1.0389566272363584,2.66,0.053727183,2.41,0.08078985,1.0240412,1.1023414
0,1183,0.0024739299278827946,-0.0059076441753294915,115583.99461827114,139555.95969642393,1.8756702990581344,3.7604383961924643,1.1935130815248156,2.66,0.053727183,2.46,0.09435794,1.0240412,0.98142296
1,21,-0.007837137274261744,-0.00915389339157073,365121.3862878142,326065.73231144843,2.6074479930613204,1.9697037692376598,1.0551791472026482,2.54,0.026223237,2.79,0.10938069,1.2746781,1.4339211
2,15,-0.0022616505600062623,0.0045081611583944,14908.158807172369,16447.01249803025,35.33605279638711,14.902919729098183,1.152771720798125,3.98,0.01433642,2.6,0.022149228,0.99500185,1.1349726
2,564,-0.0009117426091039215,0.011933102473753359,34624.078174596914,32595.91762138602,35.33605279638711,2.194948310799257,1.6238137175338736,3.98,0.01433642,2.53,0.020869067,0.99500185,1.0341318
2,1125,-0.0011244416873537311,0.01076318701931062,31517.52718829032,29849.63593167801,35.33605279638711,4.972677554804119,2.2912787237218355,3.98,0.01433642,2.52,0.06304425,0.99500185,1.0112028
2,1222,-0.0026044107043935527,0.002622866716193048,9902.01645162185,11061.25582179134,35.33605279638711,11.810749172250201,1.9342481407660475,3.98,0.01433642,2.87,0.70867604,0.99500185,3.5704815
5,41,0.0008392183886285105,0.003645452696590801,43019.2354197322,48537.19578899056,3.1771516501368553,22.500141369399646,2.696071128821135,2.58,0.0228339,1.65,0.066567935,0.96506596,1.0589757
5,46,0.00026186599869382275,0.0020647649258580805,91916.2459783057,78766.1624927717,3.1771516501368553,10.57609496130157,2.2093584486743407,2.58,0.0228339,1.18,0.016734038,0.96506596,1.074311
