,star_s,star_b,cross_point_x,cross_point_y,TBL_S,TBL_B,vel_mod_s,vel_mod_b,angle,parallax_s,parallax_err_s,parallax_b,parallax_err_b,ruwe_s,ruwe_b,star_score,star_score_ID
6189,895,1083,0.0041801442673563,0.0071611693159359,13423.446633321882,14057.636731688384,21.806474502990103,17.817425792656486,1.9225353263983327,0.52,0.018399334,3.56,0.02792,1.0075713,1.5031186,14.594823684540733,1083.0
513,43,1083,-0.0091946905905182,0.0079046517939019,90657.9447965209,83463.15299392269,22.97790382634037,17.817425792656486,1.027433549057191,2.83,0.024015222,3.56,0.02792,1.0197788,1.5031186,14.594823684540733,1083.0
573,48,1083,-0.0024170863459012,0.0075278972356582,56602.206903187456,48292.39188790429,27.638155974943817,17.817425792656486,1.6199077028046514,1.44,0.039784264,3.56,0.02792,1.0349691,1.5031186,14.594823684540733,1083.0
1061,99,1083,-0.0045134278570861,0.0076444290058042,57904.14473828889,59170.8562870422,19.342268471559567,17.817425792656486,1.6232982457284366,2.57,0.018276036,3.56,0.02792,1.2190882,1.5031186,14.594823684540733,1083.0
3527,390,1083,-0.0069667919685525,0.0077808070058564,70929.26045508179,71902.00433821308,20.64041853890504,17.817425792656486,1.3849341172173613,1.39,0.046634097,3.56,0.02792,1.1044523,1.5031186,14.594823684540733,1083.0
874,81,1174,-0.002981416179964,-9.548827144115982e-05,28780.547129745763,33514.2522144489,22.582380294209283,6.485136775150276,1.1336439186232643,2.68,0.0162079,1.04,0.81593716,1.0076104,0.66970354,10.810688837085573,1174.0
4360,509,1174,-0.0021466737971315,0.000217379439218,22861.32794521708,20824.362496231748,13.660398628632612,6.485136775150276,2.0186702746413974,1.38,0.146127,1.04,0.81593716,1.0067515,0.66970354,10.810688837085573,1174.0
576,48,1174,-0.0032274241182185,-0.0001876938932337,30688.90100234042,37254.104976761664,27.638155974943817,6.485136775150276,2.034040611175307,1.44,0.039784264,1.04,0.81593716,1.0349691,0.66970354,10.810688837085573,1174.0
934,86,1174,-0.0067983825368888,-0.0015261159121535,85325.27502311925,91540.3967156605,10.195609462355508,6.485136775150276,1.2459794118526948,1.81,0.7153338,1.04,0.81593716,3.1952236,0.66970354,10.810688837085573,1174.0
516,43,1174,-0.0046232467999531,-0.0007108587113883,51473.13347557602,58473.62882230416,22.97790382634037,6.485136775150276,1.4415664574278464,2.83,0.024015222,1.04,0.81593716,1.0197788,0.66970354,10.810688837085573,1174.0
1586,166,1174,-0.0068927247648569,-0.0015614760873284,82590.22916996281,92974.60263752087,7.972327744693972,6.485136775150276,1.6695041148845131,0.73,0.046569068,1.04,0.81593716,1.0254942,0.66970354,10.810688837085573,1174.0
